user_id,label
17,4
21,0
27,4
28,0
36,0
50,4
52,3
54,0
63,0
67,0
87,0
90,4
112,0
118,0
122,0
132,0
138,0
140,1
142,0
146,0
150,0
152,2
154,2
173,2
174,0
182,2
187,0
195,0
204,0
206,0
210,0
214,0
219,4
222,0
223,2
227,2
232,4
233,2
234,0
236,4
243,0
248,0
258,0
262,0
264,4
278,0
280,0
281,0
289,0
290,2
300,0
304,2
306,3
307,3
309,0
310,0
313,0
321,0
323,4
327,2
334,2
348,0
370,0
373,0
382,4
398,0
403,0
409,0
410,2
419,0
422,0
423,0
429,0
432,4
444,0
448,0
451,0
452,0
454,0
462,0
464,0
465,4
466,0
474,0
475,2
481,0
487,0
495,2
496,0
503,0
516,0
520,0
525,0
528,0
529,0
531,0
535,0
538,0
558,0
560,4
562,0
583,2
596,0
599,0
604,0
606,0
612,0
616,0
618,2
626,0
630,0
641,0
645,0
646,0
649,2
652,0
653,2
655,0
657,0
658,4
667,4
669,0
684,4
688,4
690,0
696,0
699,0
702,0
719,0
729,0
732,0
741,0
758,0
762,0
767,0
768,0
777,3
778,0
786,0
787,0
812,1
818,0
839,2
847,0
848,0
849,0
852,2
854,0
857,2
858,0
864,0
868,0
870,0
879,0
880,0
893,4
894,2
896,0
898,0
911,0
913,3
914,0
917,2
932,0
933,0
947,0
957,0
958,0
961,0
962,2
963,4
964,1
968,0
971,0
973,4
975,0
980,0
984,0
995,0
998,0
999,2
1004,1
1018,4
1021,0
1022,0
1024,0
1027,0
1029,0
1035,0
1036,2
1044,4
1050,0
1058,0
1059,2
1066,0
1075,0
1084,0
1095,2
1107,2
1109,0
1120,0
1130,0
1136,0
1138,0
1139,4
1141,0
1142,3
1150,0
1164,0
1171,4
1173,0
1177,0
1191,0
1197,0
1199,2
1202,0
1203,0
1213,4
1216,0
1219,0
1221,3
1225,0
1232,0
1237,1
1238,0
1240,2
1242,0
1246,0
1250,0
1254,0
1263,0
1264,0
1267,0
1271,0
1280,0
1285,0
1310,0
1320,0
1344,0
1352,0
1359,3
1365,0
1368,0
1378,0
1381,0
1382,0
1390,0
1396,0
1398,0
1404,0
1415,0
1420,0
1424,2
1427,0
1428,0
1438,0
1473,3
1480,0
1483,2
1487,0
1496,0
1498,0
1504,2
1509,0
1519,4
1526,2
1527,0
1531,0
1535,2
1537,0
1538,0
1540,2
1542,3
1546,0
1547,4
1549,0
1553,0
1558,0
1563,1
1564,3
1574,0
1575,0
1579,0
1581,2
1584,0
1608,0
1615,0
1621,0
1622,4
1629,2
1658,0
1665,0
1666,0
1680,0
1683,0
1699,3
1704,0
1705,0
1715,0
1716,4
1721,0
1725,0
1727,2
1737,0
1739,0
1742,0
1743,0
1748,2
1750,2
1753,2
1754,0
1759,2
1764,2
1769,3
1776,3
1781,4
1789,2
