,user_id,label
0,17,3
1,21,3
2,27,0
3,28,3
4,36,3
5,50,3
6,52,1
7,54,3
8,63,3
9,67,3
10,87,3
11,90,0
12,112,3
13,118,3
14,122,3
15,132,3
16,138,3
17,140,2
18,142,3
19,146,3
20,150,3
21,152,0
22,154,0
23,173,3
24,174,3
25,182,0
26,187,3
27,195,3
28,204,3
29,206,3
30,210,3
31,214,3
32,219,3
33,222,3
34,223,0
35,227,0
36,232,3
37,233,0
38,234,3
39,236,3
40,243,3
41,248,3
42,258,3
43,262,3
44,264,0
45,278,3
46,280,3
47,281,3
48,289,3
49,290,0
50,300,3
51,304,0
52,306,1
53,307,1
54,309,3
55,310,3
56,313,3
57,321,3
58,323,0
59,327,0
60,334,0
61,348,3
62,370,3
63,373,3
64,382,3
65,398,3
66,403,3
67,409,3
68,410,0
69,419,3
70,422,3
71,423,3
72,429,3
73,432,3
74,444,3
75,448,0
76,451,3
77,452,3
78,454,3
79,462,3
80,464,3
81,465,3
82,466,0
83,474,3
84,475,0
85,481,3
86,487,3
87,495,0
88,496,3
89,503,3
90,516,3
91,520,3
92,525,3
93,528,0
94,529,3
95,531,3
96,535,3
97,538,3
98,558,3
99,560,3
100,562,3
101,583,0
102,596,3
103,599,3
104,604,3
105,606,3
106,612,3
107,616,3
108,618,0
109,626,3
110,630,3
111,641,3
112,645,3
113,646,3
114,649,0
115,652,3
116,653,0
117,655,3
118,657,3
119,658,0
120,667,0
121,669,3
122,684,3
123,688,3
124,690,3
125,696,3
126,699,3
127,702,3
128,719,3
129,729,3
130,732,3
131,741,3
132,758,3
133,762,3
134,767,3
135,768,3
136,777,1
137,778,3
138,786,3
139,787,3
140,812,2
141,818,3
142,839,0
143,847,3
144,848,3
145,849,3
146,852,0
147,854,3
148,857,0
149,858,3
150,864,3
151,868,3
152,870,3
153,879,3
154,880,3
155,893,3
156,894,0
157,896,3
158,898,3
159,911,3
160,913,1
161,914,3
162,917,0
163,932,3
164,933,3
165,947,3
166,957,3
167,958,3
168,961,3
169,962,0
170,963,3
171,964,2
172,968,3
173,971,3
174,973,3
175,975,3
176,980,3
177,984,3
178,995,3
179,998,3
180,999,0
181,1004,2
182,1018,3
183,1021,3
184,1022,3
185,1024,3
186,1027,3
187,1029,3
188,1035,3
189,1036,0
190,1044,3
191,1050,3
192,1058,3
193,1059,0
194,1066,3
195,1075,3
196,1084,3
197,1095,0
198,1107,0
199,1109,3
200,1120,3
201,1130,3
202,1136,3
203,1138,3
204,1139,0
205,1141,3
206,1142,1
207,1150,3
208,1164,3
209,1171,3
210,1173,3
211,1177,3
212,1191,3
213,1197,0
214,1199,0
215,1202,3
216,1203,3
217,1213,3
218,1216,3
219,1219,3
220,1221,1
221,1225,3
222,1232,3
223,1237,2
224,1238,3
225,1240,0
226,1242,3
227,1246,3
228,1250,3
229,1254,3
230,1263,3
231,1264,3
232,1267,3
233,1271,3
234,1280,3
235,1285,3
236,1310,3
237,1320,3
238,1344,3
239,1352,3
240,1359,1
241,1365,3
242,1368,3
243,1378,3
244,1381,3
245,1382,3
246,1390,3
247,1396,3
248,1398,3
249,1404,3
250,1415,3
251,1420,3
252,1424,0
253,1427,3
254,1428,3
255,1438,3
256,1473,1
257,1480,3
258,1483,0
259,1487,3
260,1496,3
261,1498,3
262,1504,0
263,1509,3
264,1519,0
265,1526,0
266,1527,3
267,1531,3
268,1535,0
269,1537,3
270,1538,3
271,1540,0
272,1542,1
273,1546,3
274,1547,3
275,1549,3
276,1553,3
277,1558,3
278,1563,2
279,1564,1
280,1574,3
281,1575,3
282,1579,3
283,1581,0
284,1584,3
285,1608,3
286,1615,3
287,1621,3
288,1622,3
289,1629,0
290,1658,3
291,1665,3
292,1666,3
293,1680,3
294,1683,3
295,1699,1
296,1704,3
297,1705,3
298,1715,3
299,1716,0
300,1721,3
301,1725,3
302,1727,0
303,1737,3
304,1739,3
305,1742,3
306,1743,3
307,1748,0
308,1750,0
309,1753,0
310,1754,3
311,1759,0
312,1764,0
313,1769,1
314,1776,1
315,1781,3
316,1789,0
317,1793,3
318,1795,3
319,1809,0
320,1814,3
321,1815,0
322,1819,3
323,1830,3
324,1833,3
325,1837,3
326,1838,3
327,1840,3
328,1850,0
329,1859,0
330,1862,3
331,1866,3
332,1868,3
333,1886,3
334,1890,3
335,1899,0
336,1909,3
337,1911,3
338,1916,0
339,1927,3
340,1930,3
341,1941,0
342,1943,3
343,1948,3
344,1951,3
345,1953,3
346,1955,3
347,1958,3
348,1965,1
349,1967,3
350,1971,3
351,1982,3
352,1983,3
353,1987,1
354,1990,3
355,1992,3
356,1993,0
357,2010,3
358,2011,3
359,2013,3
360,2019,3
361,2022,3
362,2024,3
363,2031,3
364,2033,3
365,2039,3
366,2041,0
367,2049,3
368,2055,3
369,2057,3
370,2075,3
371,2094,3
372,2098,3
373,2100,3
374,2102,3
375,2118,0
376,2130,0
377,2157,3
378,2160,3
379,2162,3
380,2163,3
381,2166,0
382,2175,3
383,2180,0
384,2183,3
385,2184,3
386,2192,3
387,2193,3
388,2211,3
389,2212,3
390,2215,3
391,2216,0
392,2217,3
393,2225,3
394,2229,2
395,2231,3
396,2233,3
397,2237,1
398,2241,3
399,2242,3
400,2244,0
401,2245,3
402,2253,3
403,2255,3
404,2258,0
405,2262,3
406,2268,3
407,2278,3
408,2286,3
409,2293,3
410,2294,3
411,2304,2
412,2307,3
413,2310,3
414,2313,3
415,2335,2
416,2336,3
417,2344,3
418,2350,0
419,2355,3
420,2357,0
421,2362,3
422,2365,0
423,2366,3
424,2371,0
425,2383,3
426,2387,3
427,2394,1
428,2396,3
429,2397,3
430,2399,3
431,2405,3
432,2409,3
433,2413,3
434,2415,0
435,2428,3
436,2435,0
437,2436,3
438,2439,3
439,2440,0
440,2446,3
441,2456,3
442,2468,3
443,2473,3
444,2474,0
445,2476,0
446,2483,2
447,2488,2
448,2489,3
449,2495,0
450,2496,3
451,2497,3
452,2501,3
453,2505,3
454,2514,3
455,2518,0
456,2524,3
457,2531,3
458,2533,0
459,2535,3
460,2539,3
461,2546,3
462,2550,3
463,2553,0
464,2555,3
465,2556,3
466,2561,0
467,2562,1
468,2566,3
469,2574,3
470,2584,0
471,2588,0
472,2591,3
473,2592,3
474,2593,3
475,2596,0
476,2604,3
477,2609,0
478,2611,3
479,2626,3
480,2627,3
481,2638,3
482,2646,3
483,2649,3
484,2650,3
485,2655,3
486,2658,3
487,2663,3
488,2676,0
489,2688,3
490,2689,3
491,2690,3
492,2701,3
493,2706,3
494,2712,0
495,2720,3
496,2735,3
497,2764,3
498,2765,3
499,2770,3
500,2774,3
501,2779,3
502,2785,3
503,2786,3
504,2799,2
505,2802,3
506,2805,3
507,2807,3
508,2808,3
509,2821,3
510,2825,3
511,2827,3
512,2830,3
513,2834,3
514,2847,3
515,2849,3
516,2857,3
517,2866,3
518,2868,3
519,2879,1
520,2882,3
521,2885,3
522,2899,3
523,2903,0
524,2904,3
525,2914,3
526,2916,3
527,2917,3
528,2926,3
529,2930,3
530,2935,1
531,2936,3
532,2939,3
533,2941,3
534,2947,3
535,2951,0
536,2952,3
537,2961,3
538,2964,0
539,2965,3
540,2967,3
541,2974,0
542,2976,3
543,2978,3
544,2985,3
545,2989,3
546,2991,3
547,3004,3
548,3007,3
549,3011,3
550,3016,3
551,3018,1
552,3044,3
553,3067,3
554,3080,3
555,3094,3
556,3097,3
557,3098,3
558,3100,3
559,3103,3
560,3106,3
561,3107,3
562,3108,3
563,3117,3
564,3118,0
565,3120,3
566,3148,3
567,3152,2
568,3154,3
569,3167,3
570,3178,0
571,3183,3
572,3184,3
573,3190,3
574,3194,0
575,3199,3
576,3210,3
577,3213,3
578,3219,3
579,3220,3
580,3221,1
581,3223,3
582,3225,3
583,3226,3
584,3228,3
585,3235,3
586,3242,0
587,3252,3
588,3255,3
589,3256,3
590,3269,3
591,3273,3
592,3275,0
593,3277,3
594,3283,3
595,3285,3
596,3289,3
597,3296,3
598,3298,0
599,3306,3
600,3309,0
601,3312,3
602,3321,3
603,3326,3
604,3338,0
605,3350,3
606,3358,3
607,3375,0
608,3377,3
609,3378,3
610,3384,3
611,3387,3
612,3394,3
613,3406,0
614,3412,3
615,3417,2
616,3418,3
617,3420,3
618,3422,3
619,3428,3
620,3431,2
621,3435,3
622,3438,3
623,3439,3
624,3452,3
625,3456,3
626,3461,3
627,3464,1
628,3467,3
629,3475,3
630,3481,3
631,3484,3
632,3485,3
633,3490,3
634,3492,0
635,3497,0
636,3500,3
637,3503,3
638,3509,0
639,3510,3
640,3512,3
641,3514,3
642,3523,3
643,3530,3
644,3531,3
645,3536,0
646,3538,0
647,3543,0
648,3544,0
649,3548,1
650,3549,3
651,3551,0
652,3558,3
653,3562,3
654,3571,3
655,3579,3
656,3584,3
657,3593,3
658,3594,3
659,3597,0
660,3600,0
661,3602,0
662,3605,0
663,3606,3
664,3612,3
665,3614,3
666,3617,3
667,3621,3
668,3626,3
669,3634,3
670,3648,0
671,3651,3
672,3652,3
673,3659,3
674,3660,3
675,3663,2
676,3664,3
677,3667,3
678,3676,3
679,3680,3
680,3682,3
681,3690,3
682,3718,0
683,3725,3
684,3726,3
685,3729,3
686,3733,0
687,3740,3
688,3741,3
689,3742,3
690,3744,3
691,3745,3
692,3749,2
693,3753,3
694,3762,3
695,3770,0
696,3777,3
697,3782,0
698,3787,3
699,3794,0
700,3801,3
701,3803,0
702,3804,3
703,3807,0
704,3826,0
705,3827,3
706,3830,0
707,3838,3
708,3849,3
709,3856,0
710,3874,0
711,3880,0
712,3884,3
713,3888,0
714,3890,3
715,3905,3
716,3916,0
717,3920,3
718,3939,3
719,3950,3
720,3960,3
721,3964,3
722,3974,0
723,3979,3
724,3980,3
725,3985,3
726,3990,3
727,4000,3
728,4004,3
729,4006,3
730,4014,3
731,4021,3
732,4024,3
733,4030,3
734,4041,3
735,4044,3
736,4050,3
737,4054,0
738,4067,3
739,4069,3
740,4072,3
741,4076,3
742,4087,3
743,4090,3
744,4098,3
745,4099,3
746,4108,3
747,4115,3
748,4117,3
749,4118,0
750,4119,3
751,4122,3
752,4127,3
753,4130,3
754,4148,1
755,4157,0
756,4163,3
757,4166,3
758,4170,3
759,4176,3
760,4177,3
761,4179,3
762,4187,3
763,4192,0
764,4193,3
765,4194,3
766,4196,3
767,4199,3
768,4208,0
769,4213,3
770,4220,3
771,4223,3
772,4224,3
773,4228,3
774,4229,3
775,4238,1
776,4246,0
777,4255,0
778,4266,3
779,4267,1
780,4273,3
781,4281,3
782,4284,3
783,4294,3
784,4297,0
785,4299,3
786,4300,0
787,4312,0
788,4320,3
789,4323,3
790,4325,3
791,4326,3
792,4333,0
793,4335,0
794,4344,3
795,4345,3
796,4347,3
797,4356,0
798,4358,3
799,4362,3
800,4363,3
801,4368,0
802,4369,0
803,4375,3
804,4377,3
805,4382,3
806,4390,0
