order_id,product_id,add_to_cart_order,reordered
691,8048,1,1
691,12341,2,1
691,21573,3,1
691,11759,4,1
691,21903,5,1
691,30450,6,1
691,39332,7,0
691,4920,8,1
691,9076,9,1
691,17122,10,1
942,45636,1,1
942,2677,2,1
942,35121,3,1
942,45603,4,1
942,8736,5,1
942,28613,6,1
1213,32478,1,1
1213,25890,2,1
1213,21137,3,0
2035,5131,1,1
2035,24852,2,1
2035,12858,3,1
2035,33716,4,1
2035,42265,5,1
2035,39408,6,1
2035,12099,7,1
2035,19862,8,1
2035,31040,9,1
2035,1450,10,1
2035,26604,11,1
2035,21137,12,1
2035,11777,13,1
2199,24852,1,0
2199,17616,2,1
2199,47877,3,0
2199,33313,4,0
2199,651,5,0
2199,16953,6,1
2199,49615,7,1
2199,42972,8,1
2199,7693,9,0
2199,24600,10,1
2199,18811,11,1
2199,6128,12,1
2199,36393,13,1
2199,35518,14,1
2199,47144,15,1
2236,43310,1,1
2236,30146,2,1
2236,37646,3,1
2236,14240,4,1
2236,45448,5,1
2236,31373,6,1
2236,2825,7,1
2236,24946,8,0
2236,46979,9,1
2236,40706,10,1
2236,27344,11,0
2236,49131,12,0
2236,16617,13,0
2236,37664,14,0
2236,21616,15,1
2593,13176,1,1
2593,5612,2,1
2593,8193,3,0
2593,32486,4,0
2593,47209,5,1
2692,17131,1,1
2692,27845,2,1
2692,46906,3,1
2692,2314,4,1
2692,38430,5,0
2692,11143,6,0
2692,24394,7,0
2692,33731,8,0
2692,4799,9,0
3231,48595,1,0
3231,11143,2,1
3231,38430,3,1
3231,27729,4,1
3231,7781,5,1
3231,10753,6,1
3231,24363,7,1
3231,13292,8,1
3231,23737,9,1
3231,14870,10,1
3231,31634,11,1
3231,19057,12,1
3231,47011,13,1
3231,47792,14,1
3231,4821,15,1
3231,22827,16,0
3231,5876,17,1
3231,8174,18,1
3231,29484,19,1
3231,30776,20,1
3231,27845,21,1
3231,10912,22,1
3231,14074,23,1
3231,20084,24,1
3231,35756,25,1
3231,8968,26,1
3231,20738,27,1
3231,47209,28,1
3324,42562,1,1
3324,27845,2,1
3324,17131,3,1
3324,36036,4,1
3324,13176,5,1
3324,7054,6,0
3324,24535,7,1
3324,6104,8,0
3324,47193,9,0
3324,11005,10,0
3324,2314,11,0
3324,41665,12,0
3324,3339,13,1
3326,8571,1,1
3326,33768,2,1
3326,16797,3,1
3326,12899,4,1
3326,32689,5,1
3326,11365,6,1
3326,33147,7,1
3326,32691,8,1
3559,21573,1,1
3559,33768,2,1
3559,8571,3,1
3559,26900,4,1
3559,43352,5,1
3559,12899,6,1
3559,39275,7,1
3561,20395,1,1
3561,4724,2,1
4120,24632,1,1
4120,2067,2,1
4120,33462,3,1
4120,30658,4,1
4120,42828,5,1
4120,38256,6,1
4120,30450,7,1
4120,5322,8,1
4120,14183,9,1
4120,24852,10,1
4120,28204,11,1
4120,37646,12,1
4120,18523,13,1
4120,19156,14,1
4120,24954,15,1
4609,14001,1,1
4609,22802,2,1
4609,12341,3,1
4609,11759,4,1
4609,20738,5,0
4736,40939,1,1
4736,11540,2,1
5508,27511,1,1
5508,20392,2,1
5508,36011,3,1
5508,14947,4,1
6375,27086,1,1
6375,19156,2,1
6375,24852,3,1
6375,28204,4,1
6375,24954,5,1
6375,5757,6,1
6375,24632,7,1
6375,30658,8,1
6375,2067,9,1
6375,8277,10,1
6433,8048,1,1
6433,8571,2,1
6433,20940,3,1
6433,32303,4,1
6433,42265,5,1
6726,14858,1,1
6726,24834,2,1
6726,20818,3,0
6726,40174,4,1
6726,432,5,0
6726,35594,6,0
6823,27845,1,1
6823,2855,2,1
6823,35886,3,1
6823,16797,4,1
7824,11755,1,0
7824,21288,2,1
7824,6184,3,1
7824,31805,4,1
7824,43352,5,1
7824,10227,6,1
7824,21195,7,1
7989,2830,1,1
7989,13176,2,1
7989,41220,3,0
7989,47209,4,1
7989,36695,5,1
7989,44359,6,0
7989,42768,7,0
8324,42972,1,1
8324,5212,2,1
8324,30776,3,1
8324,34270,4,1
8324,27966,5,1
8324,35756,6,1
8324,44268,7,1
8324,48559,8,0
8324,10385,9,1
9425,29532,1,1
9425,13076,2,0
9425,33015,3,0
9425,5764,4,0
9425,31342,5,0
9425,35223,6,0
9425,14764,7,1
9425,35140,8,0
9425,41787,9,1
9425,21137,10,1
9425,9076,11,0
9425,4920,12,0
9425,22115,13,1
9425,28985,14,1
9425,10621,15,1
9532,28204,1,1
9532,24852,2,1
9532,5322,3,1
9532,2971,4,1
9532,48210,5,1
9532,3957,6,1
9532,31915,7,1
9532,48015,8,0
9532,21914,9,1
9532,2966,10,0
9532,23909,11,1
9600,35832,1,1
9600,44949,2,1
9600,31564,3,1
9600,10162,4,0
9600,365,5,1
9628,44632,1,1
9628,35221,2,1
9628,20119,3,1
9628,24852,4,1
9628,27086,5,1
9628,34160,6,1
